Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1771611897	325	874	12168	0	254976	6593	0	54	0	42728658	35376	1334441	4444	2	4910	4	32
1771611899	327	874	12168	0	254976	6593	0	54	0	42729062	35381	1334982	4449	2	4940	4	32
1771611901	329	874	12168	0	254976	6593	0	54	0	42735730	35399	1341745	4465	2	4971	4	32
1771611903	331	878	12168	0	254976	6593	0	54	0	42877455	35524	1350406	4490	2	5002	4	32
1771611905	333	878	12168	0	254976	6593	0	54	0	42877752	35527	1350853	4494	2	5033	4	32
1771611907	335	878	12168	0	254976	6593	0	54	0	43053057	35685	1357310	4526	2	5063	4	32
1771611909	337	878	12168	0	254976	6593	0	54	0	43349143	35711	1653426	4552	2	5090	4	32
1771611911	339	878	12168	0	254976	6593	0	54	0	43362232	35729	1669750	4572	2	5121	4	32
1771611913	341	878	12168	0	254976	6593	0	54	0	43362734	35734	1670346	4578	2	5151	4	32
1771611915	343	878	12168	0	254976	6593	0	54	0	43362906	35736	1670542	4580	2	5182	4	32
1771611917	345	878	12168	0	254976	6593	0	54	0	43366064	35748	1674610	4592	2	5213	4	32
1771611919	347	878	12168	0	254976	6593	0	54	0	43366578	35754	1675233	4598	2	5243	4	32
1771611921	349	878	12168	0	254976	6593	0	54	0	43367306	35761	1676445	4609	2	5274	4	32
1771611923	351	878	12168	0	254976	6593	0	54	0	43367702	35765	1677018	4613	2	5305	4	32
1771611925	353	874	12168	0	254976	6593	0	54	0	43368744	35775	1681156	4625	2	5336	4	32
1771611927	355	871	12168	0	254976	6593	0	54	0	43369810	35780	1691950	4658	2	5365	4	32
1771611929	357	871	12168	0	254976	6593	0	54	0	43374989	35818	1699665	4694	2	5396	4	32
1771611931	359	878	12168	0	254976	6593	0	54	0	43797040	35870	2120962	4739	2	5425	4	32
1771611933	361	878	12168	0	254976	6593	0	54	0	43798032	35877	2124713	4748	2	5456	4	32
1771611935	363	878	12168	0	254976	6593	0	54	0	43801050	35885	2131342	4765	2	5485	4	32
1771611937	365	874	12168	0	254976	6593	0	54	0	43801917	35893	2134892	4772	2	5516	4	32
1771611939	367	878	12168	0	254976	6593	0	54	0	43802431	35899	2138803	4788	2	5547	4	32
1771611941	369	878	12168	0	254976	6593	0	54	0	43803203	35905	2142588	4796	2	5578	4	32
1771611943	370	878	12168	0	254976	6593	0	54	0	43803480	35908	2142937	4799	2	5605	4	32
1771611945	372	878	12168	0	254976	6593	0	54	0	43809686	35921	2149104	4811	2	5636	4	32
1771611947	375	878	12168	0	254976	6593	0	54	0	43810104	35926	2149534	4816	2	5666	4	32
1771611949	377	878	12168	0	254976	6593	0	54	0	43810345	35929	2149805	4819	2	5697	4	32
1771611951	379	878	12168	0	254976	6593	0	54	0	43810431	35930	2149903	4820	2	5727	4	32
1771611953	381	878	12168	0	254976	6593	0	54	0	43810820	35933	2150221	4823	2	5758	4	32
1771611955	383	878	12168	0	254976	6593	0	54	0	43811052	35936	2150479	4826	2	5789	4	32
1771611957	385	878	12168	0	254976	6593	0	54	0	43811565	35940	2154062	4832	2	5820	4	32
1771611959	387	878	12168	0	254976	6593	0	54	0	43811823	35943	2154541	4836	3	5852	4	32
1771611961	389	878	12168	0	254976	6593	0	54	0	43818590	35962	2160843	4850	3	5882	4	32
1771611963	391	878	12168	0	254976	6593	0	54	0	43818936	35966	2161171	4853	3	5914	4	32
1771611965	393	878	12168	0	254976	6593	0	54	0	43819168	35969	2161429	4856	3	5945	4	32
1771611967	395	878	12168	0	254976	6593	0	54	0	43823143	35976	2167778	4868	3	5975	4	32
1771611969	397	878	12168	0	254976	6593	0	54	0	43829003	35997	2171226	4890	3	6007	4	32
1771611971	399	878	12168	0	254976	6593	0	54	0	43830438	36006	2175374	4903	3	6037	4	32
1771611973	401	878	12168	0	254976	6593	0	54	0	43830974	36009	2175702	4906	3	6067	4	32
1771611975	403	878	12168	0	254976	6593	0	54	0	43831417	36014	2176211	4911	3	6097	4	32
1771611977	405	878	12168	0	254976	6593	0	54	0	43831589	36016	2179475	4913	3	6128	4	32
1771611979	407	878	12168	0	254976	6593	0	54	0	43832159	36021	2179824	4916	3	6159	4	32
1771611981	409	878	12168	0	254976	6593	0	54	0	43832305	36023	2179984	4918	3	6190	4	32
1771611983	410	878	12168	0	254976	6593	0	54	0	43832391	36024	2180082	4919	3	6219	4	32
1771611985	412	878	12168	0	254976	6593	0	54	0	43832623	36027	2180340	4922	3	6249	4	32
1771611987	415	878	12168	0	254976	6593	0	54	0	43833710	36038	2187222	4937	3	6281	4	32
1771611989	417	878	12168	0	254976	6593	0	54	0	43833891	36040	2187431	4939	3	6312	4	32
1771611991	419	878	12168	0	254976	6593	0	54	0	43837484	36059	2193324	4953	3	6343	4	32
1771611993	421	878	12168	0	254976	6593	0	54	0	43844196	36075	2202392	4966	3	6374	4	32
1771611995	423	878	12168	0	254976	6593	0	54	0	43845053	36083	2203269	4974	3	6405	4	32
1771611997	425	878	12168	0	254976	6593	0	54	0	43845350	36086	2203618	4977	3	6435	4	32
1771611999	427	878	12168	0	254976	6593	0	54	0	43845436	36087	2203716	4978	3	6467	4	32
1771612001	429	878	12168	0	254976	6593	0	54	0	43845975	36092	2207360	4985	3	6498	4	32
1771612003	431	878	12168	0	254976	6593	0	54	0	43846139	36094	2207564	4987	3	6529	4	32
1771612005	433	878	12168	0	254976	6593	0	54	0	43846371	36097	2210926	4998	3	6560	4	32
1771612007	435	878	12168	0	254976	6593	0	54	0	43847820	36101	2217592	5016	3	6589	4	32
1771612009	437	878	12168	0	254976	6593	0	54	0	43848001	36103	2217801	5018	3	6620	4	32
1771612011	439	878	12168	0	254976	6593	0	54	0	43848147	36105	2217961	5020	3	6651	4	32
1771612013	441	878	12168	0	254976	6593	0	54	0	43848642	36108	2218585	5024	3	6682	4	32
1771612015	443	878	12168	0	254976	6593	0	54	0	43848874	36111	2218843	5027	3	6713	4	32
1771612017	445	867	12168	0	254976	6593	0	54	0	43850138	36121	2235048	5062	3	6741	4	32
1771612019	447	871	12168	0	254976	6593	0	54	0	43850352	36124	2238606	5075	3	6771	4	32
1771612021	449	871	12168	0	254976	6593	0	54	0	43850498	36126	2248372	5104	3	6798	4	32
1771612023	451	871	12168	0	254976	6593	0	54	0	43857699	36149	2255031	5122	3	6828	4	32
1771612025	453	878	12168	0	254976	6593	0	54	0	43857931	36152	2255289	5125	3	6859	4	32
1771612027	455	878	12168	0	254976	6593	0	54	0	43858017	36153	2255387	5126	3	6890	4	32
1771612029	457	878	12168	0	254976	6593	0	54	0	43858566	36159	2256153	5133	3	6921	4	32
1771612031	459	878	12168	0	254976	6593	0	54	0	44024268	36322	2279143	5200	3	6950	4	32
1771612033	461	878	12168	0	254976	6593	0	54	0	44200984	36520	2323708	5278	3	6981	4	32
1771612035	463	878	12168	0	254976	6593	0	54	0	44415039	36746	2350319	5370	3	7010	4	32
1771612037	465	878	12168	0	254976	6593	0	54	0	44415125	36747	2350417	5371	3	7041	4	32
1771612039	467	878	12168	0	254976	6593	0	54	0	44415469	36751	2350857	5375	3	7072	4	32
1771612041	469	878	12168	0	254976	6593	0	54	0	46317476	38241	2369921	5450	3	7102	4	32
1771612043	471	878	12168	0	254976	6593	0	54	0	46317562	38242	2370019	5451	3	7132	4	32
1771612045	473	878	12168	0	254976	6593	0	54	0	46319880	38265	2377989	5474	3	7162	4	32
1771612047	475	878	12168	0	254976	6593	0	54	0	46322277	38276	2382028	5485	3	7193	4	32
1771612049	477	878	12168	0	254976	6593	0	54	0	47214440	38974	2389522	5525	3	7224	4	32
1771612051	478	878	12168	0	254976	6593	0	54	0	47214664	38977	2389788	5528	3	7251	4	32
